class,averate,standard_deviation,skew,kurtosis,entropy
001,0.17042055789537935,0.3854725010944282,1.9465400844324643,2.4496277974099323,7.905527675526704
001,0.16602575840810596,0.3797468408213299,1.9578426534686535,2.414347304053315,7.884750104600602
001,0.16663614722578282,0.3777057852897396,1.8940310088446108,1.9420018499448926,7.896315084078378
001,0.1618751144479033,0.3757308587445625,1.990265108350269,2.4747407670238344,7.85954625694286
001,0.17664652383568333,0.3863108195787679,1.7938108375381183,1.5426722227287302,7.955545174919585
001,0.16199719221143868,0.3747020508346563,1.9732191046323395,2.4089637615485797,7.864299424573691
001,0.1737776963926021,0.38468537900923755,1.8435318850297027,1.844315014601964,7.936794690796492
001,0.17170237441250077,0.3856162172090069,1.9218600444636682,2.36146538058983,7.916501117517711
001,0.1820179454312397,0.39447583994409563,1.8110933939654306,1.7932749096121965,7.974780685847288
001,0.18439846182017947,0.39530360482219906,1.7690485753677012,1.5784544223093393,7.991316657277517
001,0.19263871085881706,0.4015925011290727,1.6908852048514034,1.2734267218133173,8.03641561385023
001,0.1851309284013917,0.3968113885963972,1.7785420334075193,1.656622401512366,7.992625708974281
002,7.024598669352377,5.71828296129258,1.5189310627241586,4.493288999471296,9.387715781411597
002,7.202527009705182,5.959811359900472,1.6273852859726219,5.080681379598078,9.383352309773976
002,6.92455594213514,5.799822506137831,1.6573393664360314,4.833041771201317,9.37778859901291
002,6.837575535616187,5.62694255447038,1.4887494202745724,3.915527568235679,9.381456831570288
002,6.526033083073918,5.42640716264373,1.7944455323100386,6.487338589221871,9.383930327156664
002,7.348043703839346,6.348684130147908,1.8273360278716817,5.74845751347811,9.366650487578049
002,6.846609290117805,5.8406458763221,1.7123663471579516,5.192401836924489,9.369673965630568
002,6.738265274980162,5.902163312940714,2.046753147720539,8.767171116277817,9.360122331543884
002,6.062747970457181,4.9768202479731425,1.5496326587362368,4.56138257684703,9.382543405859408
002,6.66288225599707,5.768554743167649,1.7741951538034724,5.352276463507497,9.362500647039749
002,6.884392357932002,6.092874964100312,1.8998751095757431,6.068876268810456,9.35477522409215
002,6.338765793810658,5.350821757763641,1.7531087040115512,5.824059098183975,9.374049675760922
003,2.3521333089177805,3.6734249641127823,4.113109078479183,23.424589878165147,8.95855319467534
003,2.3043398644936826,3.901285920025716,4.876119750733393,32.113262439947846,8.913608531547634
003,2.250198376365745,3.8744759283867283,4.847647052735217,31.066923585155507,8.896052506091461
003,2.059940181895868,3.4452051217858184,4.150356822754947,23.09171632532982,8.870549497218887
003,1.9987792223646463,3.1498602828177273,3.9122752307590187,20.560661773239794,8.926736109444438
003,2.076420679973143,3.5816710905042464,4.554563906466845,28.256409320324185,8.857699097712601
003,1.8832936580601842,3.2454137082355037,4.550356682730993,28.449708431455967,8.847161846828623
003,1.7740950985777941,3.0851953500439606,4.5160072089333,28.549859559484464,8.822786801110691
003,1.5365928096197277,2.354544158904135,3.516356011403503,18.38031928139719,8.894615463159877
003,1.6417628029054507,2.622700152792388,3.491605746604399,16.564810480733875,8.857113308253538
003,1.5741317219068547,2.6317524904568375,3.814296096202589,20.19037915977709,8.819368461294413
003,1.4319111273881462,2.265706675737958,3.5865854878567025,20.31870537706034,8.834086141403626
004,0.6434108527131783,0.954488915891528,4.255835325120614,33.13082585370312,8.836992334278673
004,0.42183971189647806,0.5836071861833348,2.673647965248026,26.143067440510514,8.737602641378086
004,0.3449307208691937,0.48338254006234577,0.7608153234145716,-1.101009381655765,8.62443818853166
004,0.3111151803698956,0.47365239932730663,0.9739406284646641,-0.5411561096109327,8.51495147419622
004,0.7723860098882989,1.1700236767499117,5.358927172516039,56.40586857720688,8.881288995222882
004,0.5184032228529574,0.6654437408652477,2.357675215696216,15.916559348619778,8.858226705725917
